alpha_deg,0.1,0.6,1.1,1.6,2.1,2.6,3.1,3.6,4.1,4.6,5.1,5.6,6.1,6.6,7.1,7.6,8.1,8.6,9.1,9.6,10.1
-12,-0.45527372,-0.37892897,-0.37006414,-0.36689754,-0.36380883,-0.45197446,-0.48410158,-0.50993988,-0.52931649,-0.54356623,-0.55340996,-0.56021481,-0.56601471,-0.57168949,-0.57731579,-0.58259018,-0.58682919,-0.58955114,-0.59254219,-0.60795946,-0.84843564
-11,-0.42774893,-0.34792227,-0.33668429,-0.33403226,-0.32973671,-0.36737301,-0.43242438,-0.45661287,-0.48753624,-0.51632451,-0.54093476,-0.56251658,-0.58508224,-0.63318029,-0.83234469,-0.88076813,-0.89246922,-0.90010282,-0.9072578,-0.91413364,-0.92045671
-10,-0.39886151,-0.3190834,-0.30557615,-0.30058795,-0.29712512,-0.29930825,-0.3641833,-0.47979546,-0.54742555,-0.62171206,-0.7786874,-0.82645025,-0.83904212,-0.84549897,-0.8514425,-0.85727635,-0.86255372,-0.86700292,-0.87058907,-0.87340771,-0.8755936
-9,-0.368559,-0.29226384,-0.27666803,-0.26734784,-0.2560859,-0.28013861,-0.44706745,-0.61163279,-0.75979789,-0.78167709,-0.7815307,-0.78588869,-0.79285951,-0.79900344,-0.80354525,-0.80659546,-0.80842406,-0.80932677,-0.80958063,-0.80941855,-0.80901452
-8,-0.33692169,-0.26724887,-0.24834452,-0.24306359,-0.25705768,-0.42979999,-0.52000163,-0.654679,-0.72390568,-0.73332269,-0.72952168,-0.72791821,-0.73014605,-0.73334717,-0.73576611,-0.73702876,-0.7373276,-0.7369837,-0.73629048,-0.73546452,-0.73464303
-7,-0.30382189,-0.24312293,-0.22062922,-0.215761,-0.20321331,-0.35346402,-0.47282926,-0.57663532,-0.64950419,-0.67100664,-0.67041209,-0.66598514,-0.66359602,-0.66319577,-0.66346407,-0.66362816,-0.66350298,-0.66317209,-0.66277943,-0.66243978,-0.66221692
-6,-0.26877789,-0.21771964,-0.19490026,-0.18379873,-0.18019917,-0.19539823,-0.36279695,-0.46210824,-0.53831762,-0.58369605,-0.60172474,-0.60476961,-0.60321786,-0.60112369,-0.59942716,-0.59817349,-0.59726035,-0.59661172,-0.59618514,-0.59594957,-0.59587595
-5,-0.23112471,-0.18817144,-0.16791928,-0.15370214,-0.14575597,-0.1365237,-0.17832013,-0.30385527,-0.38643611,-0.45019564,-0.49570435,-0.52077364,-0.53155471,-0.53525102,-0.53605558,-0.53575153,-0.53502229,-0.5341495,-0.53326795,-0.53245016,-0.53173113
-4,-0.19034698,-0.15411395,-0.13664885,-0.12266529,-0.11242227,-0.10335287,-0.090309319,-0.11247914,-0.18383277,-0.25554469,-0.31872565,-0.37089157,-0.41056872,-0.4377851,-0.45431098,-0.46303154,-0.46688135,-0.46806303,-0.46792369,-0.4671912,-0.46623906
-3,-0.14629468,-0.11733955,-0.10215198,-0.089777466,-0.079538907,-0.071082173,-0.062005438,-0.050627025,-0.045479814,-0.064554549,-0.10719257,-0.15731162,-0.20488545,-0.24665068,-0.28214194,-0.31169891,-0.33581905,-0.35501609,-0.36981328,-0.38076306,-0.3884586
-2,-0.099313055,-0.079191133,-0.067404448,-0.057057327,-0.048597555,-0.041986015,-0.036340036,-0.030294378,-0.02318401,-0.016027468,-0.01225929,-0.017404776,-0.034216152,-0.059228262,-0.087376995,-0.11549649,-0.14216522,-0.16686218,-0.18945274,-0.20995506,-0.22844382
-1,-0.050203846,-0.039995177,-0.033587166,-0.027357823,-0.022000077,-0.018328014,-0.015967185,-0.014074035,-0.011987603,-0.0094099913,-0.0063895675,-0.0033018219,-0.00089414424,-0.00028231397,-0.0026517197,-0.0086488842,-0.018058264,-0.030086379,-0.043824276,-0.058488638,-0.073467881
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.050203663,0.039995066,0.033587133,0.027357921,0.022000032,0.018327966,0.015967224,0.014073943,0.011987428,0.0094100954,0.0063890015,0.0033020264,0.0008946361,0.00028210898,0.0026517165,0.0086493411,0.018058316,0.030086384,0.043824499,0.058488534,0.073468153
2,0.099313058,0.079191268,0.067404633,0.057057529,0.048597348,0.041985916,0.03633996,0.030294384,0.023184171,0.016027508,0.012259706,0.017404916,0.034216092,0.059227906,0.08737668,0.1154964,0.14216549,0.16686179,0.18945279,0.20995511,0.22844335
3,0.14629468,0.11733955,0.10215198,0.089777304,0.079538841,0.071082173,0.062005438,0.050627025,0.045479814,0.064554549,0.10719257,0.15731162,0.20488545,0.24665068,0.28214194,0.31169891,0.33581905,0.35501609,0.36981328,0.38076306,0.3884586
4,0.19034692,0.15411398,0.13664879,0.12266519,0.1124222,0.10335301,0.09030954,0.11247919,0.18383225,0.25554462,0.31872555,0.37089175,0.41056841,0.43778513,0.45431108,0.46303141,0.46688112,0.46806327,0.46792367,0.46719119,0.46623919
5,0.23112462,0.18817134,0.16791965,0.15370188,0.14575619,0.13652362,0.17831983,0.30385519,0.38643606,0.45019604,0.49570418,0.52077344,0.5315548,0.53525122,0.53605599,0.53575157,0.53502227,0.53414959,0.53326777,0.53244996,0.53173122
6,0.26877789,0.21771964,0.1949004,0.18379878,0.18019905,0.19539841,0.36279695,0.46210824,0.53831762,0.58369605,0.60172474,0.60476961,0.60321786,0.60112369,0.59942716,0.59817349,0.59726035,0.59661172,0.59618514,0.59594957,0.59587595
7,0.30382202,0.24312292,0.22062908,0.21576076,0.20321337,0.35346454,0.47282935,0.57663537,0.64950412,0.6710068,0.67041213,0.66598514,0.66359612,0.66319566,0.66346422,0.66362841,0.66350266,0.66317214,0.6627792,0.66243944,0.6622171
8,0.33692184,0.2672489,0.24834456,0.24306382,0.2570577,0.42979988,0.52000161,0.6546794,0.72390541,0.73332271,0.72952167,0.72791822,0.73014569,0.73334709,0.7357663,0.73702882,0.73732735,0.73698375,0.73629073,0.73546459,0.73464293
9,0.368559,0.29226354,0.27666821,0.26734795,0.25608589,0.28013859,0.44706737,0.61163279,0.75979789,0.78167709,0.7815307,0.78588869,0.79285951,0.79900344,0.80354525,0.80659546,0.80842406,0.80932677,0.80958063,0.80941855,0.80901452
10,0.39886158,0.31908366,0.30557599,0.30058777,0.297125,0.29930814,0.36418342,0.4797953,0.54742604,0.62171225,0.77868738,0.82645033,0.83904221,0.84549897,0.85144267,0.85727657,0.86255386,0.86700321,0.8705896,0.8734076,0.87559381
11,0.42774927,0.34792224,0.33668447,0.33403217,0.32973694,0.3673731,0.43242432,0.45661282,0.48753618,0.51632401,0.54093467,0.56251649,0.58508237,0.63317949,0.83234416,0.88076851,0.89246952,0.90010297,0.90725772,0.91413348,0.92045667
12,0.45527355,0.37892909,0.37006395,0.36689788,0.36380887,0.45197445,0.48410151,0.50994008,0.52931649,0.54356623,0.55340996,0.56021481,0.56601471,0.57168949,0.57731579,0.58259018,0.58682919,0.58955114,0.59254219,0.60795946,0.84843564
13,0.48182432,0.41217732,0.40499019,0.40192367,0.42739701,0.50385045,0.53323938,0.55260949,0.56659323,0.57589618,0.58135953,0.58514981,0.58808123,0.59038051,0.59226646,0.59391675,0.59544043,0.59690374,0.59833015,0.59965848,0.60069815
14,0.50809459,0.4473467,0.44137291,0.43809501,0.51503184,0.55368533,0.57542132,0.58978871,0.60007412,0.60595836,0.61003374,0.61303675,0.61509944,0.61645445,0.61726441,0.61767831,0.61786058,0.6179537,0.61805651,0.61822495,0.61848195
15,0.53491688,0.48383099,0.47875418,0.47486512,0.56701947,0.59838796,0.61366073,0.6255612,0.63241203,0.63684561,0.63994399,0.6419328,0.64312173,0.64367269,0.64377493,0.64361859,0.64333789,0.64301182,0.64268808,0.64239991,0.64217253
