alpha_deg,0.1,0.6,1.1,1.6,2.1,2.6,3.1,3.6,4.1,4.6,5.1,5.6,6.1,6.6,7.1,7.6,8.1,8.6,9.1,9.6,10.1
-12,0.017260014,0.028135213,0.033275116,0.03601369,0.038729442,0.062782445,0.0658267,0.066268864,0.064951885,0.063046117,0.060935974,0.058736396,0.056458232,0.054117805,0.051714792,0.049203507,0.046528781,0.043634135,0.040420277,0.036410288,0.025621919
-11,0.012322502,0.020312718,0.025947231,0.028691188,0.030760938,0.043146561,0.060259692,0.061902077,0.061843832,0.058971073,0.054202148,0.04863869,0.042916689,0.036606557,0.029267025,0.027909807,0.027881137,0.028578798,0.02966329,0.030880223,0.032081618
-10,0.0082718682,0.013090912,0.018533577,0.021544117,0.0235258,0.027974246,0.044950953,0.052684359,0.046882638,0.038137622,0.032093428,0.03091407,0.030827565,0.03110007,0.031579129,0.032190959,0.032884073,0.033608969,0.034320377,0.034984411,0.035582817
-9,0.005129081,0.0067311765,0.011070029,0.014082526,0.015572818,0.022774923,0.043722358,0.046797129,0.043143352,0.037565602,0.033489002,0.0326151,0.033239277,0.034022967,0.034624671,0.035038496,0.035314909,0.035507293,0.035658585,0.035796268,0.035933085
-8,0.0028705204,0.0011283624,0.0041571847,0.0073456514,0.0156385,0.049799901,0.049407494,0.047862578,0.045600411,0.04167315,0.037743208,0.035579088,0.035101144,0.035319916,0.035615688,0.035791886,0.035838513,0.035799827,0.035724777,0.035651361,0.035603639
-7,0.0014261009,-0.0038512224,-0.0024624653,0.00082224676,0.0012295353,0.035110372,0.04679669,0.05039634,0.050993132,0.04797303,0.043917874,0.040630259,0.038725007,0.037832142,0.037420488,0.037180441,0.036998977,0.03685463,0.036753728,0.036703876,0.036707548
-6,0.00069551164,-0.0076624446,-0.0080905399,-0.0066923512,-0.0038883429,0.0017142579,0.034327011,0.046042185,0.054234926,0.055793935,0.053166571,0.049799251,0.046977911,0.044880288,0.043382282,0.04232117,0.041570539,0.041044231,0.04068537,0.040452818,0.04031689
-5,0.00052217402,-0.0097048305,-0.011430164,-0.012097796,-0.01094093,-0.0093329966,0.00027322864,0.024712606,0.04001516,0.051225881,0.057284427,0.05798248,0.056073107,0.053763783,0.051771869,0.050159008,0.048849077,0.047770637,0.046874497,0.046127312,0.045504665
-4,0.00064709227,-0.010010809,-0.012578236,-0.013979516,-0.014745208,-0.014782068,-0.015637876,-0.010545743,0.0046817294,0.020201877,0.033710607,0.044397818,0.05190847,0.056298005,0.05806208,0.058018953,0.057004759,0.055617303,0.054180272,0.052832682,0.051620955
-3,0.00076982418,-0.0088200171,-0.0119512,-0.013726077,-0.015171139,-0.016595045,-0.01829094,-0.020330423,-0.020681244,-0.015583681,-0.0054058441,0.0062144345,0.017065012,0.026439368,0.034258549,0.040619839,0.045651316,0.049477037,0.052220635,0.054013253,0.055000639
-2,0.00069977559,-0.0064250374,-0.0093309424,-0.011422102,-0.013075732,-0.014683664,-0.016280771,-0.017732529,-0.018990315,-0.019963178,-0.020062748,-0.018149334,-0.013661676,-0.0074424658,-0.00066576819,0.0059570906,0.012126121,0.017749509,0.022822568,0.027372791,0.031436838
-1,0.00041427033,-0.0033263887,-0.0050351622,-0.0065326421,-0.0078256127,-0.0088849158,-0.009700001,-0.010249401,-0.010595802,-0.010857097,-0.011114862,-0.011371437,-0.011528851,-0.011373936,-0.010641496,-0.0091641533,-0.0069637634,-0.004193864,-0.0010375357,0.0023462009,0.0058305822
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
