DP_Spencer_K60
 1.0000000     0.0001000
 0.9965600     0.0008300
 0.9904200     0.0021500
 0.9832000     0.0037000
 0.9752000     0.0054100
 0.9667800     0.0072100
 0.9581500     0.0090600
 0.9494200     0.0109500
 0.9406600     0.0128500
 0.9319000     0.0147600
 0.9231400     0.0166900
 0.9143600     0.0186300
 0.9055600     0.0205700
 0.8967800     0.0225200
 0.8880200     0.0244500
 0.8793000     0.0263500
 0.8706000     0.0282300
 0.8619200     0.0300800
 0.8532600     0.0318900
 0.8446200     0.0336600
 0.8359900     0.0354000
 0.8273700     0.0370900
 0.8187400     0.0387300
 0.8101000     0.0403400
 0.8014600     0.0419000
 0.7928000     0.0434200
 0.7841500     0.0449100
 0.7754900     0.0463500
 0.7668200     0.0477400
 0.7581500     0.0491000
 0.7494600     0.0504100
 0.7407600     0.0516900
 0.7320600     0.0529200
 0.7233500     0.0541200
 0.7146300     0.0552700
 0.7059000     0.0563900
 0.6971600     0.0574700
 0.6884000     0.0585100
 0.6796400     0.0595200
 0.6708700     0.0604900
 0.6620900     0.0614300
 0.6533100     0.0623400
 0.6445200     0.0632100
 0.6357400     0.0640500
 0.6269500     0.0648500
 0.6181600     0.0656100
 0.6093600     0.0663400
 0.6005600     0.0670400
 0.5917600     0.0677000
 0.5829500     0.0683200
 0.5741400     0.0689100
 0.5653300     0.0694700
 0.5565100     0.0700000
 0.5476900     0.0704900
 0.5388600     0.0709400
 0.5300400     0.0713700
 0.5212000     0.0717600
 0.5123700     0.0721200
 0.5035300     0.0724400
 0.4946900     0.0727300
 0.4858400     0.0730000
 0.4770000     0.0732300
 0.4681600     0.0734300
 0.4593300     0.0735900
 0.4504900     0.0737200
 0.4416500     0.0738200
 0.4328100     0.0738900
 0.4239700     0.0739200
 0.4151300     0.0739200
 0.4062900     0.0738900
 0.3974500     0.0738300
 0.3886200     0.0737300
 0.3797900     0.0735900
 0.3709600     0.0734300
 0.3621400     0.0732200
 0.3533200     0.0729900
 0.3445100     0.0727100
 0.3357000     0.0724000
 0.3268900     0.0720500
 0.3180900     0.0716700
 0.3092900     0.0712500
 0.3005000     0.0707900
 0.2917300     0.0702900
 0.2829600     0.0697500
 0.2742000     0.0691700
 0.2654400     0.0685500
 0.2566900     0.0678800
 0.2479600     0.0671700
 0.2392400     0.0664200
 0.2305300     0.0656200
 0.2218400     0.0647800
 0.2131600     0.0638800
 0.2045000     0.0629400
 0.1958600     0.0619400
 0.1872400     0.0608900
 0.1786400     0.0597900
 0.1700700     0.0586300
 0.1615200     0.0574100
 0.1530100     0.0561200
 0.1445400     0.0547800
 0.1361100     0.0533600
 0.1277200     0.0518800
 0.1193900     0.0503100
 0.1111200     0.0486800
 0.1029200     0.0469500
 0.0948100     0.0451400
 0.0867800     0.0432400
 0.0788600     0.0412300
 0.0710800     0.0391300
 0.0634500     0.0369300
 0.0560300     0.0346300
 0.0488900     0.0322400
 0.0421200     0.0297900
 0.0357900     0.0272900
 0.0300400     0.0248200
 0.0249500     0.0224200
 0.0205600     0.0201500
 0.0168500     0.0180500
 0.0137400     0.0161300
 0.0111500     0.0143800
 0.0089900     0.0127800
 0.0071700     0.0113000
 0.0056400     0.0099300
 0.0043500     0.0086400
 0.0032600     0.0074300
 0.0023400     0.0062600
 0.0015900     0.0051500
 0.0009800     0.0040600
 0.0005200     0.0030100
 0.0002000     0.0019800
 0.0000300     0.0009900
 0.0000000     0.0000200
 0.0001200    -0.0009400
 0.0004100    -0.0019300
 0.0008600    -0.0029300
 0.0014900    -0.0039100
 0.0022900    -0.0048800
 0.0032600    -0.0058400
 0.0044000    -0.0068100
 0.0057400    -0.0077800
 0.0073000    -0.0087900
 0.0091200    -0.0098300
 0.0112700    -0.0109200
 0.0138000    -0.0120800
 0.0168300    -0.0133300
 0.0204600    -0.0146800
 0.0248000    -0.0161300
 0.0299400    -0.0176900
 0.0358600    -0.0192900
 0.0424800    -0.0209100
 0.0496600    -0.0224900
 0.0572400    -0.0240100
 0.0651000    -0.0254400
 0.0731700    -0.0267900
 0.0813700    -0.0280400
 0.0896600    -0.0292100
 0.0980500    -0.0303000
 0.1065000    -0.0313200
 0.1150200    -0.0322600
 0.1235800    -0.0331400
 0.1322000    -0.0339600
 0.1408600    -0.0347300
 0.1495500    -0.0354500
 0.1582500    -0.0361200
 0.1669800    -0.0367400
 0.1757300    -0.0373200
 0.1845100    -0.0378600
 0.1933000    -0.0383600
 0.2021100    -0.0388300
 0.2109300    -0.0392600
 0.2197600    -0.0396600
 0.2286000    -0.0400200
 0.2374600    -0.0403600
 0.2463300    -0.0406700
 0.2552000    -0.0409500
 0.2640800    -0.0412100
 0.2729600    -0.0414400
 0.2818500    -0.0416400
 0.2907500    -0.0418200
 0.2996600    -0.0419800
 0.3085700    -0.0421200
 0.3174900    -0.0422300
 0.3264000    -0.0423300
 0.3353200    -0.0424100
 0.3442400    -0.0424600
 0.3531600    -0.0424900
 0.3620900    -0.0425100
 0.3710200    -0.0425100
 0.3799600    -0.0424800
 0.3888900    -0.0424400
 0.3978300    -0.0423900
 0.4067700    -0.0423100
 0.4157000    -0.0422200
 0.4246400    -0.0421100
 0.4335800    -0.0419900
 0.4425200    -0.0418400
 0.4514600    -0.0416800
 0.4604100    -0.0415000
 0.4693600    -0.0413100
 0.4783000    -0.0411000
 0.4872400    -0.0408800
 0.4961900    -0.0406400
 0.5051300    -0.0403800
 0.5140800    -0.0401100
 0.5230300    -0.0398300
 0.5319800    -0.0395200
 0.5409200    -0.0392100
 0.5498700    -0.0388800
 0.5588200    -0.0385300
 0.5677600    -0.0381700
 0.5767000    -0.0377900
 0.5856400    -0.0374000
 0.5945800    -0.0369900
 0.6035100    -0.0365700
 0.6124400    -0.0361300
 0.6213700    -0.0356700
 0.6303000    -0.0352000
 0.6392300    -0.0347100
 0.6481500    -0.0342000
 0.6570700    -0.0336800
 0.6659800    -0.0331300
 0.6748900    -0.0325700
 0.6838000    -0.0319900
 0.6927000    -0.0313900
 0.7016000    -0.0307700
 0.7104800    -0.0301300
 0.7193600    -0.0294600
