Reynolds
160
641
1597
3020
4896
7206
9930
13039
16506
20295
24371
28694
33222
37913
42721
47599
52501
57379
62187
66878
71406
75729
79805
83594
87061
90170
92894
95204
97080
98503
99459
99940
