Re,alpha_deg,CL,CD,CM
99939.836,28.246323,1.0114131,0.3278228,-0.16059232
99459.37,28.246323,1.0091898,0.32778716,-0.16027029
98503.06,28.246323,1.004793,0.32771528,-0.15963386
97080.125,28.246323,0.99830925,0.32760918,-0.15869662
95204.266,28.246323,0.98984116,0.32746863,-0.1574746
92893.55,28.246323,0.9794834,0.327293,-0.15598257
90170.22,28.246323,0.9672803,0.3270799,-0.15422745
87060.51,28.246323,0.95324594,0.3268217,-0.15220943
83594.37,28.246323,0.93744934,0.32650894,-0.14993289
79805.18,28.246323,0.92023003,0.3261326,-0.14743504
75729.43,28.246323,0.9024861,0.32569784,-0.14482741
71406.375,28.246323,0.8863855,0.32525462,-0.14240335
66877.65,28.246323,0.87829477,0.32497275,-0.14106832
62186.86,28.246323,0.8976882,0.3253119,-0.14362915
57379.188,28.246323,0.9833598,0.3271167,-0.1556873
52500.93,28.246323,1.1431966,0.33063492,-0.1783707
47599.07,28.246323,1.2683375,0.33381385,-0.1961306
42720.812,28.246323,1.2838235,0.3352682,-0.19831479
37913.14,28.246323,1.2808088,0.33688372,-0.1978515
33222.35,28.246323,1.2833894,0.338867,-0.19817741
28693.623,28.246323,1.2881248,0.34087545,-0.19885322
24370.568,28.246323,1.2922906,0.3432795,-0.19986081
20294.82,28.246323,1.2954841,0.34543803,-0.20120485
16505.63,28.246323,1.2982312,0.3479422,-0.20262451
13039.491,28.246323,1.298502,0.35171,-0.20464902
9929.784,28.246323,1.296922,0.35526228,-0.20888777
7206.456,28.246323,1.2927185,0.35912722,-0.21561995
4895.735,28.246323,1.2546525,0.35686547,-0.21961348
3019.874,28.246323,1.2223681,0.36066556,-0.20655032
1596.9388,28.246323,1.2136892,0.3583928,-0.19670549
640.6333,28.246323,1.243207,0.38270968,-0.18676502
160.16696,28.246323,0.95471966,0.5142652,-0.11580666
99939.836,27.119678,0.9805723,0.31619263,-0.15040359
99459.37,27.119678,0.97852015,0.31615713,-0.1501137
98503.06,27.119678,0.97444916,0.31608734,-0.14953944
97080.125,27.119678,0.9684145,0.31598622,-0.1486899
95204.266,27.119678,0.96046346,0.31585544,-0.14757332
92893.55,27.119678,0.95061004,0.31569803,-0.14619295
90170.22,27.119678,0.93881565,0.31551254,-0.14454341
87060.51,27.119678,0.92503774,0.31529418,-0.1426153
83594.37,27.119678,0.90935737,0.3150326,-0.14041188
79805.18,27.119678,0.8921423,0.31471515,-0.1379694
75729.43,27.119678,0.87411094,0.31433764,-0.13536766
71406.375,27.119678,0.85644555,0.31393102,-0.13275342
66877.65,27.119678,0.842797,0.3136167,-0.13063708
62186.86,27.119678,0.84895134,0.31377143,-0.13128968
57379.188,27.119678,0.92156583,0.31533867,-0.14145318
52500.93,27.119678,1.0928782,0.3190109,-0.16577838
47599.07,27.119678,1.2411578,0.32262468,-0.18686087
42720.812,27.119678,1.2600181,0.32426095,-0.1895818
37913.14,27.119678,1.2563772,0.32593912,-0.18911545
33222.35,27.119678,1.2588464,0.32782513,-0.18954015
28693.623,27.119678,1.262748,0.3300891,-0.19038896
24370.568,27.119678,1.2662578,0.33247533,-0.1916832
20294.82,27.119678,1.268605,0.33466843,-0.19314525
16505.63,27.119678,1.2701765,0.33749792,-0.19467004
13039.491,27.119678,1.2690488,0.34124315,-0.19696625
9929.784,27.119678,1.2662666,0.34462428,-0.20151429
7206.456,27.119678,1.2581335,0.3487848,-0.20818114
4895.735,27.119678,1.2207493,0.3478741,-0.2104913
3019.874,27.119678,1.1873488,0.34757856,-0.19687513
1596.9388,27.119678,1.1795783,0.34617278,-0.18715726
640.6333,27.119678,1.2102267,0.37142158,-0.17719017
