Re,alpha_deg,CL_fit,CD_fit,CM_fit
160.16696,-29.963863,-0.74385065,0.45394024,0.05816872
1168.0425,-29.963863,-0.8542632,0.32606912,0.09242357
2175.918,-29.963863,-0.88841045,0.2963046,0.10635191
3183.7935,-29.963863,-0.89417493,0.3069101,0.11007922
4191.669,-29.963863,-0.89449644,0.32737026,0.10932196
5199.5444,-29.963863,-0.8979467,0.34384352,0.10704945
6207.42,-29.963863,-0.9056356,0.3520181,0.10461053
7215.2954,-29.963863,-0.9154945,0.35245198,0.10247123
8223.171,-29.963863,-0.9247488,0.3476859,0.100675374
9231.046,-29.963863,-0.9311658,0.34058452,0.09911391
10238.922,-29.963863,-0.9335342,0.33349994,0.097666755
11246.798,-29.963863,-0.9316818,0.32795835,0.09626346
12254.673,-29.963863,-0.9262594,0.3246553,0.09489619
13262.548,-29.963863,-0.91843164,0.32361227,0.093607515
14270.424,-29.963863,-0.90956783,0.32439423,0.092468195
15278.3,-29.963863,-0.9009852,0.32632816,0.09155417
16286.175,-29.963863,-0.89376324,0.32868904,0.09092777
17294.049,-29.963863,-0.8886406,0.3308343,0.0906253
18301.924,-29.963863,-0.88597625,0.33228877,0.090651505
19309.8,-29.963863,-0.88577306,0.33278063,0.09097983
20317.676,-29.963863,-0.88773704,0.33223915,0.09155739
21325.55,-29.963863,-0.89136237,0.3307668,0.0923126
22333.428,-29.963863,-0.8960242,0.32859245,0.093164355
23341.303,-29.963863,-0.90106803,0.32601967,0.09403101
24349.178,-29.963863,-0.9058865,0.32337505,0.09483847
25357.053,-29.963863,-0.90998065,0.32096288,0.0955264
26364.928,-29.963863,-0.91299736,0.31903097,0.0960524
27372.805,-29.963863,-0.914748,0.31774795,0.09639375
28380.68,-29.963863,-0.91520697,0.31719315,0.09654729
29388.555,-29.963863,-0.9144963,0.31735796,0.09652734
30396.432,-29.963863,-0.9128533,0.31815615,0.09636236
31404.307,-29.963863,-0.91059685,0.3194414,0.09609063
32412.182,-29.963863,-0.90808564,0.3210288,0.09575567
33420.06,-29.963863,-0.90567917,0.3227173,0.09540162
34427.934,-29.963863,-0.90370274,0.32431278,0.095069066
35435.81,-29.963863,-0.9024188,0.3256461,0.09479175
36443.684,-29.963863,-0.9020065,0.3265888,0.09459424
37451.562,-29.963863,-0.9025518,0.3270625,0.09449046
38459.438,-29.963863,-0.9040448,0.32704222,0.094483495
39467.312,-29.963863,-0.9063874,0.32655606,0.094566345
40475.188,-29.963863,-0.9094067,0.3256781,0.09472351
41483.062,-29.963863,-0.91287476,0.32451856,0.094933115
42490.938,-29.963863,-0.91653293,0.32321134,0.09516962
43498.812,-29.963863,-0.9201127,0.3218991,0.09540652
44506.69,-29.963863,-0.92336226,0.3207203,0.095618926
45514.566,-29.963863,-0.9260654,0.31979468,0.09578602
46522.44,-29.963863,-0.9280587,0.31921387,0.09589287
47530.316,-29.963863,-0.92924243,0.31903276,0.095931664
48538.19,-29.963863,-0.9295865,0.3192661,0.09590223
49546.066,-29.963863,-0.92912865,0.3198874,0.095811866
50553.938,-29.963863,-0.9279698,0.3208328,0.09567453
51561.812,-29.963863,-0.92626107,0.32200757,0.09550942
52569.688,-29.963863,-0.92418855,0.3232953,0.09533909
53577.562,-29.963863,-0.9219572,0.32456914,0.09518729
54585.438,-29.963863,-0.9197703,0.32570353,0.095076814
55593.312,-29.963863,-0.91781205,0.3265858,0.09502726
56601.19,-29.963863,-0.91623133,0.32712695,0.09505324
57609.066,-29.963863,-0.9151296,0.3272702,0.09516295
58616.94,-29.963863,-0.91455257,0.32699525,0.09535736
59624.816,-29.963863,-0.9144878,0.32632226,0.09562989
60632.69,-29.963863,-0.9148653,0.32530844,0.09596695
61640.566,-29.963863,-0.91556877,0.3240447,0.096349105
62648.44,-29.963863,-0.916445,0.3226464,0.096752636
63656.32,-29.963863,-0.9173221,0.32124266,0.097151734
64664.195,-29.963863,-0.9180263,0.31996486,0.097520776
65672.07,-29.963863,-0.9184014,0.31893224,0.097836874
66679.945,-29.963863,-0.9183266,0.31824085,0.09808198
67687.82,-29.963863,-0.9177314,0.31795275,0.09824491
68695.695,-29.963863,-0.91660494,0.31808776,0.09832254
69703.57,-29.963863,-0.9150009,0.31862104,0.09832037
70711.445,-29.963863,-0.91303456,0.31948277,0.09825215
71719.32,-29.963863,-0.9108734,0.32056478,0.09813874
72727.195,-29.963863,-0.90872186,0.32173026,0.098006144
73735.08,-29.963863,-0.90679735,0.32282874,0.09788258
74742.95,-29.963863,-0.90530777,0.32371235,0.097795404
75750.83,-29.963863,-0.9044229,0.32425442,0.09776772
76758.7,-29.963863,-0.9042502,0.32436728,0.097815126
77766.58,-29.963863,-0.9048146,0.32401624,0.09794319
78774.45,-29.963863,-0.90604734,0.32322922,0.09814584
79782.33,-29.963863,-0.9077841,0.32209876,0.09840521
80790.2,-29.963863,-0.909778,0.32077587,0.09869288
81798.08,-29.963863,-0.91172445,0.31945342,0.09897317
82805.95,-29.963863,-0.9133015,0.31834224,0.09920766
83813.83,-29.963863,-0.9142168,0.31763813,0.09936133
84821.7,-29.963863,-0.9142627,0.3174867,0.09940912
85829.58,-29.963863,-0.9133648,0.31794867,0.09934205
86837.45,-29.963863,-0.91162324,0.318972,0.09917225
87845.33,-29.963863,-0.9093245,0.32038057,0.098934636
