alpha_deg,Re,CL,CD,CM
17.87098,28693.623,0.92614645,0.23856084,-0.10892964
17.87098,24370.568,0.9170356,0.2398978,-0.11169173
17.87098,20294.82,0.9063361,0.2407282,-0.11462718
17.87098,16505.63,0.892302,0.24098815,-0.117367215
17.87098,13039.491,0.86781603,0.23996373,-0.11942479
17.87098,9929.784,0.8224877,0.23566493,-0.11398492
17.87098,7206.456,0.786684,0.22687727,-0.10170874
17.87098,4895.735,0.78805685,0.22662021,-0.09741098
17.87098,3019.874,0.79245967,0.22932512,-0.091342814
17.87098,1596.9388,0.80618364,0.23941213,-0.08236437
17.87098,640.6333,0.75694674,0.270935,-0.06307942
17.87098,160.16696,0.76964194,0.40438426,-0.046711706
15.423082,99939.836,1.400263,0.116124295,-0.035582077
15.423082,99459.37,1.4007523,0.11622309,-0.035603967
15.423082,98503.06,1.4017317,0.11642327,-0.035649076
15.423082,97080.125,1.4032034,0.1167302,-0.03571947
15.423082,95204.266,1.4051616,0.117151216,-0.0358166
15.423082,92893.55,1.407581,0.117694974,-0.03593972
15.423082,90170.22,1.4103991,0.118370734,-0.03608306
15.423082,87060.51,1.4134829,0.11918759,-0.036234308
15.423082,83594.37,1.4165926,0.12015366,-0.036379904
15.423082,79805.18,1.4193765,0.121279724,-0.036509287
15.423082,75729.43,1.4214532,0.12258746,-0.03660657
15.423082,71406.375,1.4226185,0.12410899,-0.03664828
15.423082,66877.65,1.4230509,0.12583338,-0.03665905
15.423082,62186.86,1.4229666,0.12754966,-0.036596105
15.423082,57379.188,1.4252131,0.12867823,-0.036085445
15.423082,52500.93,1.4207623,0.131767,-0.036562905
15.423082,47599.07,1.420892,0.13361348,-0.033559624
15.423082,42720.812,0.95204115,0.18018806,-0.074930444
15.423082,37913.14,0.876439,0.19835518,-0.09285244
15.423082,33222.35,0.86231107,0.20106329,-0.09609725
15.423082,28693.623,0.8484482,0.20290704,-0.09915171
15.423082,24370.568,0.8328312,0.20427458,-0.10155448
15.423082,20294.82,0.8123592,0.20473257,-0.10379185
15.423082,16505.63,0.7856176,0.203615,-0.10473789
15.423082,13039.491,0.74449414,0.19902183,-0.09943299
15.423082,9929.784,0.7016422,0.19040026,-0.08631315
15.423082,7206.456,0.7017166,0.19027612,-0.08231686
15.423082,4895.735,0.704037,0.19196191,-0.07790651
15.423082,3019.874,0.7099225,0.19700848,-0.07197571
15.423082,1596.9388,0.72226596,0.20932063,-0.064271525
15.423082,640.6333,0.6905714,0.2438129,-0.050310925
15.423082,160.16696,0.7337442,0.38445702,-0.04478913
12.826653,99939.836,1.3128904,0.090038724,-0.05363789
12.826653,99459.37,1.31287,0.09007671,-0.05362974
12.826653,98503.06,1.3128393,0.09015375,-0.053614594
12.826653,97080.125,1.3128161,0.090271786,-0.053593915
12.826653,95204.266,1.3128319,0.09043388,-0.053570244
12.826653,92893.55,1.3129356,0.090644374,-0.053546645
12.826653,90170.22,1.3131926,0.09090902,-0.05352709
12.826653,87060.51,1.3136951,0.091236815,-0.05351706
12.826653,83594.37,1.3145562,0.09164283,-0.053527534
12.826653,79805.18,1.3158913,0.09215383,-0.053577363
12.826653,75729.43,1.3177892,0.0928163,-0.053695004
12.826653,71406.375,1.32017,0.09369969,-0.05391377
12.826653,66877.65,1.3223999,0.094876036,-0.054269753
12.826653,62186.86,1.3232496,0.096345305,-0.054803576
12.826653,57379.188,1.326744,0.09808038,-0.05572101
12.826653,52500.93,1.3368548,0.10100515,-0.05869116
12.826653,47599.07,1.3563207,0.104762614,-0.058197636
12.826653,42720.812,1.1574585,0.11734638,-0.059338547
12.826653,37913.14,0.8656701,0.14896974,-0.07689982
12.826653,33222.35,0.7763465,0.16239336,-0.09097637
12.826653,28693.623,0.7485046,0.1636348,-0.09168983
12.826653,24370.568,0.7211753,0.16338313,-0.09192714
12.826653,20294.82,0.68863773,0.16141306,-0.0897942
12.826653,16505.63,0.62742156,0.15397118,-0.07641809
12.826653,13039.491,0.6152618,0.15207048,-0.07136914
12.826653,9929.784,0.6135911,0.15274255,-0.06821608
12.826653,7206.456,0.6133131,0.15453728,-0.064752415
12.826653,4895.735,0.6150518,0.1579852,-0.060558744
12.826653,3019.874,0.6194455,0.16487777,-0.055346902
12.826653,1596.9388,0.6275594,0.17985632,-0.049267415
12.826653,640.6333,0.6048956,0.21806346,-0.0394388
12.826653,160.16696,0.65704197,0.3627538,-0.041490104
10.106695,99939.836,1.2452085,0.07629853,-0.08744284
10.106695,99459.37,1.2451044,0.07636308,-0.08745099
10.106695,98503.06,1.2448803,0.076493196,-0.08746557
10.106695,97080.125,1.2444981,0.07669076,-0.08748246
10.106695,95204.266,1.2438941,0.07695868,-0.087494604
10.106695,92893.55,1.2429636,0.07730096,-0.08749013
10.106695,90170.22,1.2415375,0.07772267,-0.087450445
10.106695,87060.51,1.2393482,0.078231126,-0.087348565
10.106695,83594.37,1.2359753,0.07883856,-0.08714848
10.106695,79805.18,1.230791,0.07956994,-0.08681118
10.106695,75729.43,1.2230364,0.08048054,-0.08631179
10.106695,71406.375,1.2125188,0.08167561,-0.085675575
10.106695,66877.65,1.2010199,0.08327352,-0.08502171
