Re,alpha_deg,CL_fit,CD_fit,CM_fit
92884.71,-29.963863,-0.869589,0.332795,0.08278585
93892.586,-29.963863,-0.8706005,0.3321041,0.08294467
94900.46,-29.963863,-0.87000984,0.33251014,0.08291896
95908.336,-29.963863,-0.8682545,0.33372527,0.08273592
96916.21,-29.963863,-0.86773735,0.33409888,0.082676046
97924.086,-29.963863,-0.8698402,0.33266422,0.08293466
98931.96,-29.963863,-0.8699722,0.3325638,0.0829884
99939.836,-29.963863,-0.86962664,0.33280364,0.08295867
160.16696,-29.358532,-0.674363,0.47823843,0.03964092
1168.0425,-29.358532,-0.83821183,0.31804937,0.08101587
2175.918,-29.358532,-0.78277254,0.31666246,0.07762645
3183.7935,-29.358532,-0.79135776,0.32257244,0.08481739
4191.669,-29.358532,-0.8350846,0.3295223,0.09455386
5199.5444,-29.358532,-0.8694383,0.34039733,0.09812446
6207.42,-29.358532,-0.88285637,0.3504639,0.095152885
7215.2954,-29.358532,-0.8823328,0.3547459,0.0892506
8223.171,-29.358532,-0.8770092,0.35258582,0.08375868
9231.046,-29.358532,-0.8716774,0.34688354,0.08016747
10238.922,-29.358532,-0.86714494,0.34130192,0.078391045
11246.798,-29.358532,-0.86270225,0.3381217,0.077649206
12254.673,-29.358532,-0.8579522,0.337627,0.07719501
13262.548,-29.358532,-0.85331935,0.33868253,0.07664204
14270.424,-29.358532,-0.8496591,0.3397513,0.0759587
15278.3,-29.358532,-0.8476281,0.33973527,0.0753022
16286.175,-29.358532,-0.8472891,0.33834583,0.0748417
17294.049,-29.358532,-0.84810007,0.33601704,0.07465272
18301.924,-29.358532,-0.849196,0.33354616,0.07469783
19309.8,-29.358532,-0.8497684,0.33168426,0.07486738
20317.676,-29.358532,-0.84936523,0.33084676,0.0750417
21325.55,-29.358532,-0.84800804,0.33101356,0.07514178
22333.428,-29.358532,-0.846119,0.3318116,0.075151205
23341.303,-29.358532,-0.84432083,0.33270338,0.07510884
24349.178,-29.358532,-0.8431963,0.33319703,0.07508208
25357.053,-29.358532,-0.8430994,0.3330054,0.07513443
26364.928,-29.358532,-0.84406275,0.33211154,0.07530046
27372.805,-29.358532,-0.8458139,0.3307386,0.075574525
28380.68,-29.358532,-0.84788394,0.32925063,0.07591519
29388.555,-29.358532,-0.8497585,0.3280234,0.07626094
30396.432,-29.358532,-0.8510188,0.32732895,0.07655052
31404.307,-29.358532,-0.85144514,0.3272647,0.076740965
32412.182,-29.358532,-0.85104924,0.3277409,0.0768187
33420.06,-29.358532,-0.8500436,0.32852226,0.076800704
34427.934,-29.358532,-0.84876305,0.32930616,0.07672721
35435.81,-29.358532,-0.8475577,0.32981163,0.07664822
36443.684,-29.358532,-0.8467068,0.329854,0.07660911
37451.562,-29.358532,-0.8463494,0.32938886,0.076638475
38459.438,-29.358532,-0.8464702,0.32851392,0.07674163
39467.312,-29.358532,-0.84692186,0.3274355,0.07690069
40475.188,-29.358532,-0.84748113,0.32640725,0.07708119
41483.062,-29.358532,-0.8479228,0.32566267,0.07724203
42490.938,-29.358532,-0.8480828,0.3253561,0.07734703
43498.812,-29.358532,-0.84790367,0.32552674,0.077374175
44506.69,-29.358532,-0.84744453,0.32609487,0.07732064
45514.566,-29.358532,-0.84686387,0.3268863,0.07720333
46522.44,-29.358532,-0.84636766,0.3276801,0.077053696
47530.316,-29.358532,-0.8461559,0.32826608,0.07690939
48538.19,-29.358532,-0.8463633,0.32849604,0.07680512
49546.066,-29.358532,-0.84702337,0.32831907,0.07676414
50553.938,-29.358532,-0.8480563,0.3277909,0.076793194
51561.812,-29.358532,-0.84928745,0.3270564,0.07688172
52569.688,-29.358532,-0.85048914,0.326311,0.077005245
53577.562,-29.358532,-0.8514364,0.32574955,0.077132314
54585.438,-29.358532,-0.851964,0.32551682,0.07723269
55593.312,-29.358532,-0.8520037,0.32567132,0.07728523
56601.19,-29.358532,-0.8516061,0.3261706,0.07728297
57609.066,-29.358532,-0.8509205,0.32688308,0.07723452
58616.94,-29.358532,-0.85016423,0.3276221,0.07716152
59624.816,-29.358532,-0.84956217,0.32819474,0.07709235
60632.69,-29.358532,-0.8492908,0.32845262,0.07705419
61640.566,-29.358532,-0.8494312,0.3283315,0.077065654
62648.44,-29.358532,-0.84995234,0.3278696,0.0771312
63656.32,-29.358532,-0.8507137,0.32719874,0.077239886
64664.195,-29.358532,-0.8515084,0.3265106,0.07736793
65672.07,-29.358532,-0.8521217,0.3260046,0.07748543
66679.945,-29.358532,-0.85238916,0.32583266,0.07756466
67687.82,-29.358532,-0.85225284,0.32605407,0.07758864
68695.695,-29.358532,-0.85177743,0.3266155,0.07755627
69703.57,-29.358532,-0.8511397,0.32736215,0.07748384
70711.445,-29.358532,-0.85058045,0.32807967,0.07740076
71719.32,-29.358532,-0.85032845,0.32855594,0.07734155
72727.195,-29.358532,-0.8505312,0.32864735,0.07733518
73735.08,-29.358532,-0.85119545,0.32832775,0.077395804
74742.95,-29.358532,-0.85217714,0.327704,0.07751732
75750.83,-29.358532,-0.8532156,0.32698962,0.07767421
76758.7,-29.358532,-0.85401183,0.32643807,0.077828914
77766.58,-29.358532,-0.8543324,0.32625756,0.07794426
78774.45,-29.358532,-0.85410076,0.32653075,0.07799667
79782.33,-29.358532,-0.85344255,0.3271722,0.07798619
80790.2,-29.358532,-0.852658,0.3279443,0.0779379
81798.08,-29.358532,-0.85212517,0.32853785,0.077893876
82805.95,-29.358532,-0.85214615,0.32869303,0.07789678
83813.83,-29.358532,-0.85280585,0.32832167,0.07797043
84821.7,-29.358532,-0.8538976,0.32757285,0.07810579
85829.58,-29.358532,-0.85497504,0.3267972,0.078260824
86837.45,-29.358532,-0.85553896,0.32640144,0.078376934
87845.33,-29.358532,-0.8552984,0.32663605,0.07840875
88853.2,-29.358532,-0.85438424,0.32741573,0.07835406
89861.08,-29.358532,-0.85337037,0.32829404,0.07826477
90868.95,-29.358532,-0.85299927,0.32867455,0.07822483
91876.83,-29.358532,-0.8536805,0.32821208,0.07829546
92884.71,-29.358532,-0.85504043,0.3271832,0.078455955
93892.586,-29.358532,-0.8559607,0.32646978,0.078592725
94900.46,-29.358532,-0.85542715,0.32689428,0.07858089
95908.336,-29.358532,-0.85385364,0.32815894,0.07843761
96916.21,-29.358532,-0.8534106,0.3285511,0.07838848
97924.086,-29.358532,-0.8553244,0.32706618,0.07859784
98931.96,-29.358532,-0.85543746,0.32696402,0.07864688
99939.836,-29.358532,-0.8551341,0.32721576,0.07862273
160.16696,-28.753202,-0.66867733,0.47417384,0.03698951
1168.0425,-28.753202,-0.8201704,0.31239536,0.07654108
2175.918,-28.753202,-0.766096,0.31120023,0.07334322
3183.7935,-28.753202,-0.77255976,0.31620625,0.080164835
4191.669,-28.753202,-0.813558,0.32226747,0.08960249
5199.5444,-28.753202,-0.847421,0.33300263,0.09334445
6207.42,-28.753202,-0.86248344,0.34357515,0.09086062
7215.2954,-28.753202,-0.86426365,0.34856197,0.08543329
8223.171,-28.753202,-0.8606297,0.34693784,0.08018617
9231.046,-28.753202,-0.8559041,0.34146446,0.076578364
10238.922,-28.753202,-0.8511133,0.3358587,0.07461887
11246.798,-28.753202,-0.8460615,0.3325395,0.07365667
12254.673,-28.753202,-0.84081346,0.33191904,0.073039554
13262.548,-28.753202,-0.83602816,0.33293036,0.07241539
14270.424,-28.753202,-0.8325486,0.33404076,0.07173507
15278.3,-28.753202,-0.8308653,0.33411354,0.07111121
16286.175,-28.753202,-0.83083165,0.33280894,0.07066755
17294.049,-28.753202,-0.8317481,0.33052057,0.07045123
18301.924,-28.753202,-0.8326891,0.32802925,0.07041961
19309.8,-28.753202,-0.8328844,0.32609394,0.07047818
20317.676,-28.753202,-0.8319863,0.32515335,0.070533395
21325.55,-28.753202,-0.8301445,0.32521692,0.07053362
22333.428,-28.753202,-0.82789075,0.3259363,0.070482925
23341.303,-28.753202,-0.8259141,0.3267873,0.070429444
24349.178,-28.753202,-0.8248145,0.32727948,0.07043846
25357.053,-28.753202,-0.8249136,0.32711628,0.0705625
