stage,x,z,theta,phi,xdot,zdot,thetadot,r_e_x,r_e_z,x_edot,z_edot,v_e_safe,q_e,CL_e,CD_e,F_ex,F_ez,tau_e_term_rxfz,tau_e_term_rzfx,tau_e_term_M,tau_e,thetaddot
0,-8.5,0.0,0.0,0.0,6.0,3.0,0.0,-0.28146057142857145,-0.0,6.0,3.0,6.708203932499444,27.562500000000615,-0.9045080079004383,0.3345115315402047,0.04934528626478057,-0.44917088232891667,0.1264238932093725,0.0,0.0005937451593611701,0.12701763836873367,-246.5636645394376
1,-8.44,0.03,0.0,0.0,6.041797038114285,2.3047980548896607,-2.465636645394376,-0.28146057142857145,-0.0,6.041797038114285,3.044489048507974,6.765517350229215,28.035487822454684,-0.9094442931563127,0.33852631954420503,0.050966649418769175,-0.459682187132881,0.1293824110659562,0.0,0.0006146576970203835,0.12999706876297656,-314.0479446163759
2,-8.379582029618856,0.0530479805488966,-0.02465636645394376,0.0,6.0252472638513375,1.8140717238286115,-5.606116091558135,-0.28137502069860754,0.0069390918538476875,6.066710998155445,3.4953953528840036,7.001626311658194,30.026447242463902,-0.9318276178124463,0.4963869567023457,0.017910411546560596,-0.5386323581864771,0.15155769093365978,-0.0001242819908617982,0.0010333221310851605,0.15246673107388317,-410.41522785472534
3,-8.319329556980342,0.07118869778718272,-0.08071752736952512,0.0,5.985005941487946,1.3964564157996686,-9.71026837010539,-0.2805441664106313,0.0226941393725779,6.219887348803177,4.300052253420642,7.561577085102734,35.02118690854485,-0.9802460342789204,0.8011007907152904,-0.060440665942720746,-0.751272492527424,0.2107651151633434,0.001371648896675527,0.0014579935958911481,0.21359475765591007,-615.3201262699487
4,-8.259479497565463,0.0851532619451794,-0.177820211070579,0.0,5.920934753501973,0.9793589803170594,-15.863469632804875,-0.27702238906223225,0.04978603445898436,6.762735693970437,5.663357418383562,8.820896287501792,47.657529430353534,-0.9839950154329216,1.178195648218688,-0.21998509058430765,-1.2240565245283008,0.3390910627720428,0.010952185300293136,0.001993027062914246,0.3520362751352502,-1058.501986768472
5,-8.200270150030443,0.09494685174834999,-0.3364549073986277,0.0,5.818102207406685,0.4936743999721425,-26.448489500489597,-0.2656793534592923,0.092922195488217,8.437636125701433,7.9833389964730515,11.61582562379232,82.64303551493953,-0.8152749476188038,1.5790740537003294,-0.8242771340664674,-2.356740028752995,0.6261371671107295,0.07659364098819153,0.0028635138489354777,0.7055943219478565,-2182.8142390223506
6,-8.142089127956377,0.09988359574807142,-0.6009398024035237,0.0,5.595561832164889,-0.18366716431440416,-48.276631890713105,-0.23214997351339411,0.15914283856532277,13.784503036042553,11.761969225742941,18.120608268432697,201.11832196101975,-0.502881054576144,1.8643556241202677,-3.7329265695263105,-5.4454154432475566,1.2641530509193475,0.5940685304303298,0.004298390238299425,1.8625199715879766,-5871.7514814959195
7,-8.086133509634728,0.09804692410492738,-1.0837061213106547,0.0,4.8726969706499546,-1.367961912575998,-106.9941467056723,-0.13173944773023663,0.24872629772629637,33.23786853277729,13.655829582443701,35.933794486345754,790.8830215394962,-0.1933038598572812,1.9811389390724827,-23.650361127978673,-12.52656281931763,1.6502424677750207,5.88246676325205,0.00649743148226489,7.5392066625093355,-24068.858907679783
8,-8.037406539928227,0.0843673049791674,-2.153647588367378,0.0,1.0722306592045072,-3.502004714520997,-347.6827357824701,0.15491777859753347,0.23499050011288447,88.15598048688446,-60.91207477593544,107.15296425723885,7032.576621331778,-0.043547001822983794,1.99905137937557,-199.58279900274826,131.575209252618,20.383339135921215,46.90006175158511,0.013015524145349847,67.29641641165168,-215463.4917324223
9,-8.026684233336182,0.049347257833957436,-5.630474946192079,0.0,-29.33568861844276,16.446353980189315,-2502.317653106693,-0.2236037060572996,-0.1709427854761315,-485.26436196376994,612.8291774719586,781.6911805521808,374262.67482375057,0.03406708422966971,1.9994195484240282,7727.261601161067,-10107.734721238694,2260.126943513018,1320.9196222052249,-0.5418766178577933,3580.5046891003853,-11460430.736143522
