Re,alpha_deg,CL,CD,CM
99939.836,29.963863,0.99469334,0.3595853,-0.15352322
99459.37,29.963863,0.9926985,0.35945424,-0.15326181
98503.06,29.963863,0.98873836,0.35919437,-0.15274295
97080.125,29.963863,0.98286694,0.3588104,-0.15197444
95204.266,29.963863,0.975146,0.35830677,-0.1509647
92893.55,29.963863,0.9656153,0.3576863,-0.14971882
90170.22,29.963863,0.95429146,0.356948,-0.14823784
87060.51,29.963863,0.94121325,0.35608914,-0.1465233
83594.37,29.963863,0.9265441,0.35511145,-0.14458804
79805.18,29.963863,0.91075623,0.3540357,-0.14248091
75729.43,29.963863,0.8949732,0.35292992,-0.14033386
71406.375,29.963863,0.8820544,0.3519905,-0.13850902
66877.65,29.963863,0.8804038,0.3517868,-0.13810979
62186.86,29.963863,0.9118084,0.35378587,-0.14201728
57379.188,29.963863,1.0082194,0.36051583,-0.15445104
52500.93,29.963863,1.1632278,0.3727781,-0.17454714
47599.07,29.963863,1.262489,0.38199922,-0.18742317
42720.812,29.963863,1.2672318,0.38373256,-0.18805516
37913.14,29.963863,1.2651972,0.38531408,-0.1878124
33222.35,29.963863,1.2681516,0.38739982,-0.18823244
28693.623,29.963863,1.2720821,0.38987586,-0.1889803
24370.568,29.963863,1.2755063,0.39245802,-0.19014537
20294.82,29.963863,1.2778184,0.3947668,-0.19148591
16505.63,29.963863,1.2795345,0.39768368,-0.19292665
13039.491,29.963863,1.2787029,0.4013736,-0.19519986
9929.784,29.963863,1.2763743,0.4045536,-0.19973604
7206.456,29.963863,1.2685977,0.40823075,-0.20640847
4895.735,29.963863,1.2341158,0.4052632,-0.20915402
3019.874,29.963863,1.203189,0.40328848,-0.19640982
1596.9388,29.963863,1.1958385,0.40134922,-0.18695569
640.6333,29.963863,1.2246592,0.4291532,-0.17678492
160.16696,29.963863,0.94963694,0.5474519,-0.11127562
99939.836,29.675295,0.9870872,0.35625407,-0.15110758
99459.37,29.675295,0.9851188,0.3561264,-0.15085165
98503.06,29.675295,0.98121065,0.3558736,-0.15034348
97080.125,29.675295,0.9754109,0.35550016,-0.14959034
95204.266,29.675295,0.9677655,0.35501078,-0.14859836
92893.55,29.675295,0.95830417,0.35440743,-0.14737146
90170.22,29.675295,0.94703925,0.35368973,-0.14590985
87060.51,29.675295,0.93400276,0.3528541,-0.14421296
83594.37,29.675295,0.9193573,0.35190102,-0.14229378
79805.18,29.675295,0.90354615,0.35084847,-0.14019597
75729.43,29.675295,0.887557,0.34975448,-0.13803178
71406.375,29.675295,0.87387717,0.34879264,-0.1361141
66877.65,29.675295,0.8702835,0.3484876,-0.13546151
62186.86,29.675295,0.89863443,0.35027885,-0.13896275
57379.188,29.675295,0.99390274,0.35681894,-0.15123598
